Cap,Name,First,Last,Mat,Runs,HS,Avg,50,100,Balls,Wkt,BBI,Ave,5WI,Ca,St,Role,Selected
1,Mark Burgess,1973,1981,26,336,47,16.8,0,0,74,1,01-Oct,69,0,8,—,Batsman,0.0
2,Richard Collinge,1973,1978,15,34,9,5.66,0,0,859,18,May-23,26.61,1,1,—,AllRounder,0.0
3,Peter Coman,1973,1974,3,62,38,20.66,0,0,—,—,—,—,—,2,—,Batsman,0.0
4,Bevan Congdon,1973,1978,11,338,101,56.33,2,1,437,7,Feb-17,41,0,0,—,Batsman,0.0
5,Dayle Hadlee,1973,1976,11,40,20,8,0,0,628,20,Apr-34,18.2,0,2,—,Bowler,0.0
6,Richard Hadlee,1973,1990,115,1751,79,21.61,4,0,6182,158,May-25,21.56,5,27,—,AllRounder,0.0
7,Brian Hastings,1973,1975,11,151,37,18.87,0,0,—,—,—,—,—,4,—,AllRounder,0.0
8,Hedley Howarth,1973,1975,9,18,11,6,0,0,492,11,Mar-29,25.45,0,3,—,Batsman,0.0
9,Glenn Turner,1973,1983,41,1598,171*,47,9,3,6,0,—,—,—,13,—,Batsman,0.0
10,Graham Vivian,1973,1973,1,14,14,14,0,0,—,—,—,—,—,0,—,Batsman,0.0
11,Ken Wadsworth,1973,1976,13,258,104,28.66,0,1,—,—,—,—,—,13,2,Wicketkeeper,0.0
12,Vic Pollard,1973,1974,3,67,55,33.5,1,0,—,—,—,—,—,1,—,Batsman,0.0
13,Rodney Redmond,1973,1973,2,3,3,3,0,0,—,—,—,—,—,0,—,Wicketkeeper,0.0
14,Bruce Taylor,1973,1973,2,22,22,22,0,0,114,4,Mar-25,15.5,0,1,—,AllRounder,0.0
15,Lance Cairns,1974,1985,78,987,60,16.72,2,0,4015,89,May-28,30.52,1,19,—,AllRounder,0.0
16,David O'Sullivan,1974,1976,3,2,1*,2,0,0,168,2,Jan-38,61.5,0,0,—,Batsman,0.0
17,John Parker,1974,1981,24,248,66,12.4,1,0,16,1,01-Oct,10,0,11,1,Batsman,0.0
18,Barry Hadlee,1975,1975,2,26,19,26,0,0,—,—,—,—,—,0,—,Batsman,0.0
19,Geoff Howarth,1975,1985,70,1384,76,23.06,6,0,90,3,01-Apr,22.66,0,16,—,Batsman,0.0
20,John Morrison,1975,1983,18,252,55,21,1,0,283,8,Mar-24,24.87,0,6,—,Batsman,0.0
21,Brian McKechnie,1975,1981,14,54,27,13.5,0,0,818,19,Mar-23,26.05,0,2,—,Batsman,0.0
22,Graham Edwards,1976,1981,6,138,41,23,0,0,6,1,01-May,5,0,5,—,Wicketkeeper,0.0
23,Robert Anderson,1976,1978,2,16,12,16,0,0,—,—,—,—,—,1,—,Batsman,0.0
24,Norman Parker,1976,1976,1,—,—,—,—,—,—,—,—,—,—,1,—,Batsman,0.0
25,Andrew Roberts,1976,1976,1,16,16,16,0,0,56,1,Jan-30,30,0,1,—,Bowler,0.0
26,Gary Troup,1976,1985,22,101,39,25.25,0,0,1180,32,Apr-19,24.71,0,2,—,Bowler,0.0
27,Stephen Boock,1978,1987,14,30,12,10,0,0,700,15,Mar-28,34.2,0,5,—,Bowler,0.0
