Cap,Name,Career,Mat,Inn,NO,Runs,HS,Avg,Balls,Mdn,Runs.1,Wkt,Best,Avg.1,Ca,St
1,Jimmy Cook,1991–1993,4,4,-,67,35,16.75,-,-,-,-,-,-,1,-
2,Allan Donald,1991–2003,164,40,18,95,13,4.31,8561,101,5926,272,6-23,21.78,28,-
3,Andrew Hudson,1991–1997,89,88,1,2559,161,29.41,6,-,3,-,-,-,18,-
4,Peter Kirsten,1991–1994,40,40,6,1293,97,38.02,183,1,152,6,3-31,25.33,11,-
5,Adrian Kuiper,1991–1996,25,23,7,539,63*,33.68,588,-,518,18,3-33,28.77,3,-
6,Brian McMillan,1991–1998,78,52,16,841,127,23.36,3623,33,2589,70,4-32,36.98,42,-
7,Clive Rice,1991–1991,3,2,-,26,14,13.00,138,-,114,2,1-46,57.00,-,-
8,Dave Richardson,1991–1998,122,77,33,868,53,19.72,-,-,-,-,-,-,148,17
9,Tim Shaw,1991–1994,9,6,4,26,17*,13.00,504,3,298,9,2-19,33.11,2,-
10,Richard Snell,1991–1996,42,28,8,322,63,16.10,2095,25,1574,44,5-40,35.77,7,-
11,Kepler Wessels1,1991–1994,55,54,4,1627,90,32.54,12,-,11,-,-,-,30,-
12,Clive Eksteen,1991–1994,6,2,2,6,6*,-,222,3,181,2,1-26,90.50,3,-
13,Craig Matthews,1991–1997,56,22,9,141,26,10.84,3003,53,1975,79,4-10,25.00,10,-
14,Mandy Yachad,1991–1991,1,1,-,31,31,31.00,-,-,-,-,-,-,1,-
15,Hansie Cronje,1992–2000,188,175,31,5565,112,38.64,5357,33,3966,114,5-32,34.78,73,-
16,Meyrick Pringle,1992–1994,17,8,3,48,13*,9.60,870,12,604,22,4-11,27.45,2,-
17,Jonty Rhodes,1992–2003,245,220,51,5935,121,35.11,14,-,4,-,-,-,105,-
18,Tertius Bosch,1992,2,-,-,-,-,-,51,-,66,-,-,-,-,-
19,Omar Henry,1992,3,3,1,20,11,10.00,149,-,125,2,1-31,62.50,1,-
20,Mark Rushmere,1992,4,4,-,78,35,19.50,-,-,-,-,-,-,1,-
21,Corrie van Zyl,1992,2,2,1,3,3*,3.00,108,2,93,-,-,-,-,-
22,Dave Callaghan,1992–2000,29,25,6,493,169*,25.94,444,2,365,10,3-32,36.50,6,-
23,Fanie de Villiers,1992–1997,83,36,15,170,20*,8.09,4422,86,2636,95,4-27,27.74,15,-
24,Brett Schultz,1992,1,-,-,-,-,-,54,1,35,1,1-35,35.00,-,-
25,Daryll Cullinan,1993–2000,138,133,16,3860,124,32.99,174,-,124,5,2-30,24.80,62,-
26,Errol Stewart,1993–2002,6,6,2,61,23*,15.25,-,-,-,-,-,-,5,-
27,Pat Symcox,1993–1999,80,54,13,694,61,16.92,3991,25,2762,72,4-28,38.36,23,-
28,Gary Kirsten,1993–2003,185,185,19,6798,188*,40.95,30,1,23,-,-,-,61,1
29,Dave Rundle,1994,2,2,-,6,6,3.00,96,-,95,5,4-42,19.00,3,-
30,Eric Simons,1994–1995,23,18,4,217,24,15.50,1212,21,810,33,4-42,24.54,6,-
31,Derek Crookes,1994–2000,32,23,3,296,54,14.80,1221,5,1011,25,3-30,40.44,20,-
32,Michael Rindel,1994–1999,22,22,1,575,106,27.38,270,-,242,6,2-15,40.33,8,-
33,Steven Jack,1994–1995,2,2,-,7,6,3.50,108,-,86,3,2-41,28.66,3,-
34,Nicky Boje2,1995–2005,113,69,18,1410,129,27.64,4457,21,3351,95,5-21,35.27,33,-
35,Gerhardus Liebenberg,1995–1998,4,4,-,94,39,23.50,-,-,-,-,-,-,-,-
36,Rudi Steyn,1995,1,1,-,4,4,4.00,-,-,-,-,-,-,-,-
37,Paul Adams,1996–2003,24,9,5,66,33*,16.50,1109,7,815,29,3-26,28.10,7,-
38,Jacques Kallis4,1996–2014,323,309,53,11550,139,45.11,10638,77,8568,269,5-30,31.85,131,-
39,Shaun Pollock4,1996–2008,294,196,70,3193,90,25.34,15430,308,9409,387,6-35,24.31,104,-
