matches_played,goals,assists,pass_accuracy,speed,positioning,stamina,physicality,performance_class
24,17,5,87,8,7,8,9,Excellent
23,22,7,85,10,9,7,8,Excellent
18,18,8,82,8,7,8,8,Excellent
31,21,8,87,10,10,8,9,Excellent
18,13,13,86,9,10,8,8,Excellent
19,8,8,76,8,6,8,6,Good
13,7,3,75,7,8,6,6,Good
13,6,7,67,7,6,6,6,Good
15,13,2,79,7,8,6,8,Good
7,7,4,77,5,7,7,5,Good
6,4,0,65,5,5,6,4,Average
8,4,2,58,6,5,5,5,Average
9,4,0,66,7,6,6,5,Average
9,1,5,67,5,6,4,5,Average
9,5,0,61,4,4,5,6,Average
5,0,0,53,2,5,3,4,Poor
7,2,0,50,4,2,3,2,Poor
6,1,1,61,3,3,3,4,Poor
7,1,0,55,4,5,3,3,Poor
5,0,2,55,2,4,4,2,Poor
21,20,4,80,10,7,9,9,Excellent
26,18,3,92,10,9,8,10,Excellent
21,17,10,81,8,7,8,8,Excellent
30,22,7,93,10,8,9,8,Excellent
21,14,13,83,8,8,8,9,Excellent
19,8,9,75,7,6,6,8,Good
13,7,4,80,7,7,6,5,Good
13,10,8,69,8,7,7,6,Good
19,14,6,83,6,9,7,8,Good
11,6,6,69,5,7,5,5,Good
5,5,4,69,5,5,5,6,Average
5,2,3,65,5,5,6,4,Average
13,5,1,72,7,4,5,6,Average
5,1,3,61,5,6,6,4,Average
10,2,3,67,5,6,6,6,Average
6,3,0,59,4,5,4,2,Poor
8,0,0,50,4,2,5,3,Poor
10,2,2,59,5,3,3,3,Poor
8,1,0,56,4,3,4,3,Poor
8,2,2,50,1,2,3,1,Poor
21,16,8,88,9,8,8,9,Excellent
25,22,5,83,10,10,8,10,Excellent
21,18,8,77,8,8,10,9,Excellent
27,22,9,86,8,9,10,10,Excellent
20,14,14,82,9,8,8,8,Excellent
17,11,9,75,7,7,6,6,Good
11,10,4,75,7,7,6,5,Good
10,10,5,70,6,6,6,8,Good
17,13,6,81,6,7,8,7,Good
9,8,6,77,5,6,5,7,Good
7,4,4,67,5,4,6,5,Average
7,2,0,64,6,5,6,6,Average
11,4,3,68,6,5,6,6,Average
5,4,2,65,5,6,6,4,Average
6,4,2,62,4,5,7,4,Average
5,1,1,55,4,5,3,2,Poor
6,0,0,50,3,4,4,3,Poor
6,3,1,55,4,4,3,4,Poor
9,0,0,60,2,4,3,2,Poor
5,2,0,50,3,4,2,2,Poor
24,16,4,81,8,9,9,7,Excellent
27,19,7,93,8,10,9,10,Excellent
17,15,9,83,7,9,10,9,Excellent
28,22,5,85,8,10,9,8,Excellent
20,13,13,81,8,9,9,9,Excellent
14,12,6,77,7,8,6,6,Good
15,8,5,76,7,8,8,5,Good
15,10,4,69,7,5,7,7,Good
20,10,5,79,8,7,7,8,Good
9,5,5,75,7,6,5,7,Good
9,3,4,69,4,5,6,6,Average
9,3,1,59,6,4,5,4,Average
12,7,1,68,6,5,6,5,Average
9,4,5,63,4,4,5,5,Average
9,3,0,67,5,6,7,5,Average
7,0,0,55,2,5,3,3,Poor
8,1,2,55,4,4,4,4,Poor
6,2,0,63,5,3,4,4,Poor
9,0,3,56,2,5,3,4,Poor
6,0,2,56,3,4,4,3,Poor
20,20,8,84,8,7,8,8,Excellent
26,18,7,88,9,9,8,9,Excellent
18,17,11,84,8,8,10,7,Excellent
32,20,8,90,10,10,9,9,Excellent
21,13,14,81,8,8,7,9,Excellent
16,9,7,75,8,6,8,8,Good
13,11,5,70,5,6,6,5,Good
13,10,7,72,7,5,5,8,Good
17,14,2,77,8,8,7,7,Good
12,8,4,77,7,6,7,6,Good
8,6,1,61,4,6,7,6,Average
5,2,0,61,4,4,5,5,Average
11,3,3,70,5,4,7,5,Average
10,1,4,68,5,4,6,3,Average
8,5,0,64,3,6,5,5,Average
5,2,0,52,2,3,3,3,Poor
8,2,0,50,2,2,3,4,Poor
10,3,0,60,5,5,3,3,Poor
5,2,0,56,2,3,5,3,Poor
5,0,0,50,3,2,4,1,Poor
20,18,7,89,8,8,10,8,Excellent
25,22,6,86,10,10,7,9,Excellent
15,14,12,77,9,9,10,8,Excellent
33,23,8,93,8,9,9,9,Excellent
22,13,13,89,9,10,9,8,Excellent
17,12,9,77,8,8,7,7,Good
14,7,5,78,5,7,7,5,Good
14,7,7,72,7,5,6,7,Good
21,11,6,77,8,9,6,7,Good
7,8,4,73,6,6,6,6,Good
10,5,0,63,4,6,7,6,Average
5,3,0,63,6,4,6,4,Average
12,3,4,67,5,6,6,4,Average
5,4,4,65,4,4,6,3,Average
6,6,2,66,5,6,7,5,Average
5,1,2,50,3,5,5,3,Poor
8,0,2,50,3,4,3,2,Poor
8,1,2,55,5,4,2,3,Poor
8,0,0,52,2,5,4,2,Poor
5,2,0,53,3,3,4,3,Poor
24,18,7,87,9,7,8,7,Excellent
27,21,4,86,9,8,8,9,Excellent
18,18,11,86,9,9,9,9,Excellent
33,22,5,93,9,8,8,8,Excellent
19,17,12,85,7,9,8,7,Excellent
13,8,7,79,7,7,7,8,Good
14,7,5,74,5,8,8,5,Good
10,9,5,69,7,6,6,7,Good
19,12,6,76,8,7,7,7,Good
12,7,5,70,6,5,5,7,Good
8,3,2,63,4,4,7,4,Average
8,3,1,60,6,4,4,5,Average
13,4,0,73,5,5,5,6,Average
5,1,3,63,4,4,5,4,Average
10,4,3,67,4,6,5,4,Average
5,3,0,60,2,4,3,4,Poor
5,2,0,54,3,4,5,3,Poor
6,3,0,59,5,5,4,5,Poor
7,1,0,60,2,5,3,3,Poor
9,1,0,50,3,3,2,2,Poor
19,20,5,87,9,9,8,8,Excellent
26,20,6,87,8,8,7,9,Excellent
15,18,10,79,7,7,8,9,Excellent
29,22,5,95,8,10,8,8,Excellent
19,14,10,83,8,10,9,9,Excellent
14,10,5,79,7,8,8,6,Good
17,7,4,78,6,7,7,7,Good
13,7,5,70,6,5,7,8,Good
20,12,6,76,7,7,6,6,Good
10,9,4,73,6,7,6,7,Good
7,6,0,67,5,4,5,5,Average
5,4,0,65,4,5,5,4,Average
8,5,3,65,7,6,7,4,Average
7,3,3,63,6,4,6,4,Average
10,2,2,60,5,4,7,5,Average
9,0,0,59,2,3,4,2,Poor
5,0,2,55,3,4,5,2,Poor
5,0,0,63,3,3,3,3,Poor
6,2,1,60,2,3,3,4,Poor
5,1,0,53,2,4,2,1,Poor
25,20,6,80,9,9,10,7,Excellent
26,21,3,92,10,9,7,8,Excellent
21,15,10,78,8,7,8,8,Excellent
28,22,5,85,9,9,8,9,Excellent
21,17,14,81,8,8,7,7,Excellent
14,10,9,81,8,7,6,8,Good
16,8,5,74,6,8,7,5,Good
13,6,5,68,8,6,6,8,Good
18,10,6,74,7,9,6,6,Good
9,9,3,71,5,7,5,6,Good
7,6,1,63,4,6,5,4,Average
7,5,2,64,5,5,5,6,Average
13,7,0,73,6,5,7,5,Average
5,3,3,70,4,4,6,3,Average
9,6,1,63,5,6,7,5,Average
5,1,0,57,3,5,4,2,Poor
7,2,0,51,2,2,5,4,Poor
9,4,0,63,5,5,4,4,Poor
5,0,0,57,2,3,4,4,Poor
6,2,1,52,1,4,2,2,Poor
