Cap,Name,Career,Mat,Inn,NO,Runs,HS,Avg,100/50,Balls,Mdn,Runs.1,Wkt,BB,Avg.1,5wI,Ca,St,Ref,Role
1,Greg Chappell,1971–1983,74,72,14,"2,331",138*,40.18,Mar-14,"3,108",41,"2,097",72,May-15,29.12,2,23,0,[4],Batsman
2,Ian Chappell,1971–1980,16,16,2,673,86,48.07,0/8,42,1,23,2,Feb-14,11.5,0,5,0,[5],Batsman
3,Alan Connolly,1971,1,0,0,0,,,0/0,64,0,62,0,,,0,0,0,[6],Batsman
4,Bill Lawry,1971,1,1,0,27,27,27,0/0,0,0,0,0,,,0,1,0,[7],Batsman
5,Graham McKenzie,1971,1,0,0,0,,,0/0,60,0,22,2,Feb-22,11,0,1,0,[8],Batsman
6,Ashley Mallett,1971–1975,9,3,1,14,8,7,0/0,502,7,341,11,Mar-34,31,0,4,0,[9],Batsman
7,Rod Marsh,1971–1984,92,76,15,"1,225",66,20.08,0/4,0,0,0,0,,,0,120,4,[10],Wicketkeeper
8,Ian Redpath,1971–1975,5,5,0,46,24,9.2,0/0,0,0,0,0,,,0,2,0,[11],Batsman
9,Keith Stackpole,1971–1974,6,6,0,224,61,37.33,0/3,77,0,54,3,Mar-40,18,0,1,0,[12],Batsman
10,Alan Thomson,1971,1,0,0,0,,,0/0,64,2,22,1,Jan-22,22,0,0,0,[13],Batsman
11,Doug Walters,1971–1981,28,24,6,513,59,28.5,0/2,314,3,273,4,Feb-24,68.25,0,10,0,[14],Batsman
12,Ross Edwards,1972–1975,9,8,1,255,80*,36.42,0/3,0,0,0,0,,,0,0,0,[15],Batsman
13,Dennis Lillee,1972–1983,63,34,8,240,42*,9.23,0/0,"3,593",80,"2,145",103,May-34,20.82,1,10,0,[16],Bowler
14,Bob Massie,1972,3,1,1,16,16*,,0/0,183,5,129,3,Feb-35,43,0,1,0,[17],Batsman
15,Paul Sheahan,1972,3,3,0,75,50,25,0/1,0,0,0,0,,,0,0,0,[18],Batsman
16,Graeme Watson,1972,2,2,1,11,11*,11,0/0,48,1,28,2,Feb-28,14,0,0,0,[19],Batsman
17,David Colley,1972,1,0,0,0,,,0/0,66,1,72,0,,,0,0,0,[20],Batsman
18,Jeff Hammond,1972,1,1,1,15,15*,,0/0,54,1,41,1,Jan-41,41,0,0,0,[21],Batsman
19,Ray Bright,1974–1986,11,8,4,66,19*,16.5,0/0,462,3,350,3,Jan-28,116.66,0,2,0,[22],Batsman
20,Ian Davis,1974–1977,3,3,1,12,11*,6,0/0,0,0,0,0,,,0,0,0,[23],Batsman
21,Geoff Dymock,1974–1980,15,7,4,35,14*,11.66,0/0,806,16,412,15,Feb-21,27.46,0,1,0,[24],Batsman
22,Gary Gilmour,1974–1975,5,2,1,42,28*,42,0/0,320,9,165,16,Jun-14,10.31,2,2,0,[25],Batsman
23,Max Walker,1974–1981,17,11,3,79,20,9.87,0/0,"1,006",24,546,20,Apr-19,27.3,0,6,0,[26],Bowler
24,Ashley Woodcock,1974–1974,1,1,0,53,53,53,0/1,0,0,0,0,,,0,0,0,[27],Batsman
25,Wally Edwards,1975,1,1,0,2,2,2,0/0,1,0,0,0,,,0,0,0,[28],Batsman
