No,Name,First,Last,Mat,Inn,NO.1,Runs,HS,Avg,Balls,Mdn,Runs_1,Wkt,BBM,Avg_2,Ca,St
1,Syed Abid Ali,1974,1975,5,3,0,93,70,31.00,336,10,187,7,2/22,26.71,0,0
2,Bishan Singh Bedi ,1974,1979,10,7,2,31,13,6.20,590,17,340,7,2/44,48.57,4,0
3,Farokh Engineer,1974,1975,5,4,1,114,54*,38.00,—,—,—,—,—,—,3,1
4,Sunil Gavaskar ,1974,1987,108,102,14,3092,103*,35.13,20,0,25,1,1/10,25.00,22,0
5,Madan Lal,1974,1987,67,35,14,401,53*,19.09,3164,44,2137,73,4/20,29.27,18,0
6,Sudhir Naik,1974,1974,2,2,0,38,20,19.00,—,—,—,—,—,—,0,0
7,Brijesh Patel,1974,1979,10,9,1,243,82,30.37,—,—,—,—,—,—,1,0
8,Eknath Solkar,1974,1976,7,6,0,27,13,4.50,252,4,169,4,2/31,42.25,2,0
9,Srinivasaraghavan Venkataraghavan ,1974,1983,15,9,4,54,26*,10.80,868,7,542,5,2/34,108.40,4,0
10,Gundappa Viswanath ,1974,1982,25,23,1,439,75,19.95,—,—,—,—,—,—,3,0
11,Ajit Wadekar ,1974,1974,2,2,0,73,67,36.50,—,—,—,—,—,—,1,0
12,Gopal Bose,1974,1974,1,1,0,13,13,13.00,66,2,39,1,1/39,39.00,0,0
13,Ashok Mankad,1974,1974,1,1,0,44,44,44.00,35,0,47,1,1/47,47.00,0,0
14,Mohinder Amarnath ,1975,1989,85,75,12,1924,102*,30.53,2730,17,1971,46,3/12,42.84,23,0
15,Anshuman Gaekwad,1975,1987,15,14,1,269,78*,20.69,48,0,39,1,1/39,39.00,6,0
16,Karsan Ghavri,1975,1981,19,16,6,114,20,11.40,1033,12,708,15,3/40,47.20,2,0
17,Syed Kirmani ,1976,1986,49,31,13,373,48*,20.72,—,—,—,—,—,—,27,9
18,Parthasarathy Sharma,1976,1976,2,2,0,20,14,10.00,—,—,—,—,—,—,0,0
19,Dilip Vengsarkar ,1976,1991,129,120,19,3508,105,34.73,6,0,4,0,—,—,37,0
20,B. S. Chandrasekhar,1976,1976,1,1,1,11,11*,—,56,0,36,3,3/36,12.00,0,0
21,Pochiah Krishnamurthy,1976,1976,1,1,0,6,6,6.00,—,—,—,—,—,—,1,1
22,Sudhakar Rao,1976,1976,1,1,0,4,4,4.00,—,—,—,—,—,—,1,0
23,Surinder Amarnath,1978,1978,3,3,0,100,62,33.33,—,—,—,—,—,—,1,0
