No,Name,First,Last,Mat,Inn,NO.1,Runs,HS,Avg,Balls,Mdn,Runs_1,Wkt,BBM,Avg_2,Ca,St,Selected,Role
1,Syed Abid Ali,1974,1975,5,3.0,0.0,93.0,70,31.0,336.0,10.0,187.0,7.0,2/22,26.71,0,0,0,Batsman
2,Bishan Singh Bedi ,1974,1979,10,7.0,2.0,31.0,13,6.2,590.0,17.0,340.0,7.0,2/44,48.57,4,0,0,Batsman
3,Farokh Engineer,1974,1975,5,4.0,1.0,114.0,54*,38.0,0.0,0.0,0.0,0.0,,0.0,3,1,0,Wicketkeeper
4,Sunil Gavaskar ,1974,1987,108,102.0,14.0,3092.0,103*,35.13,20.0,0.0,25.0,1.0,1/10,25.0,22,0,0,Batsman
5,Madan Lal,1974,1987,67,35.0,14.0,401.0,53*,19.09,3164.0,44.0,2137.0,73.0,4/20,29.27,18,0,0,Bowler
6,Sudhir Naik,1974,1974,2,2.0,0.0,38.0,20,19.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,Batsman
7,Brijesh Patel,1974,1979,10,9.0,1.0,243.0,82,30.37,0.0,0.0,0.0,0.0,,0.0,1,0,0,Batsman
8,Eknath Solkar,1974,1976,7,6.0,0.0,27.0,13,4.5,252.0,4.0,169.0,4.0,2/31,42.25,2,0,0,Batsman
9,Srinivasaraghavan Venkataraghavan ,1974,1983,15,9.0,4.0,54.0,26*,10.8,868.0,7.0,542.0,5.0,2/34,108.4,4,0,0,Batsman
10,Gundappa Viswanath ,1974,1982,25,23.0,1.0,439.0,75,19.95,0.0,0.0,0.0,0.0,,0.0,3,0,0,Batsman
11,Ajit Wadekar ,1974,1974,2,2.0,0.0,73.0,67,36.5,0.0,0.0,0.0,0.0,,0.0,1,0,0,Batsman
12,Gopal Bose,1974,1974,1,1.0,0.0,13.0,13,13.0,66.0,2.0,39.0,1.0,1/39,39.0,0,0,0,Batsman
13,Ashok Mankad,1974,1974,1,1.0,0.0,44.0,44,44.0,35.0,0.0,47.0,1.0,1/47,47.0,0,0,0,Batsman
14,Mohinder Amarnath ,1975,1989,85,75.0,12.0,1924.0,102*,30.53,2730.0,17.0,1971.0,46.0,3/12,42.84,23,0,0,AllRounder
15,Anshuman Gaekwad,1975,1987,15,14.0,1.0,269.0,78*,20.69,48.0,0.0,39.0,1.0,1/39,39.0,6,0,0,Batsman
16,Karsan Ghavri,1975,1981,19,16.0,6.0,114.0,20,11.4,1033.0,12.0,708.0,15.0,3/40,47.2,2,0,0,Batsman
17,Syed Kirmani ,1976,1986,49,31.0,13.0,373.0,48*,20.72,0.0,0.0,0.0,0.0,,0.0,27,9,0,Wicketkeeper
18,Parthasarathy Sharma,1976,1976,2,2.0,0.0,20.0,14,10.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,Batsman
19,Dilip Vengsarkar ,1976,1991,129,120.0,19.0,3508.0,105,34.73,6.0,0.0,4.0,0.0,,0.0,37,0,0,Batsman
20,B. S. Chandrasekhar,1976,1976,1,1.0,1.0,11.0,11*,0.0,56.0,0.0,36.0,3.0,3/36,12.0,0,0,0,Batsman
21,Pochiah Krishnamurthy,1976,1976,1,1.0,0.0,6.0,6,6.0,0.0,0.0,0.0,0.0,,0.0,1,1,0,Wicketkeeper
22,Sudhakar Rao,1976,1976,1,1.0,0.0,4.0,4,4.0,0.0,0.0,0.0,0.0,,0.0,1,0,0,Batsman
23,Surinder Amarnath,1978,1978,3,3.0,0.0,100.0,62,33.33,0.0,0.0,0.0,0.0,,0.0,1,0,0,Batsman
24,Chetan Chauhan,1978,1981,7,7.0,0.0,153.0,46,21.85,0.0,0.0,0.0,0.0,,0.0,3,0,0,Batsman
25,Kapil Dev ,1978,1994,225,198.0,39.0,3783.0,175*,23.79,11202.0,235.0,6945.0,253.0,5/43,27.45,71,0,0,AllRounder
26,Yashpal Sharma,1978,1985,42,40.0,9.0,883.0,89,28.48,201.0,0.0,199.0,1.0,1/27,199.0,10,0,0,Batsman
27,Bharath Reddy,1978,1981,3,2.0,2.0,11.0,8*,0.0,0.0,0.0,0.0,0.0,,0.0,2,0,0,Batsman
28,Surinder Khanna,1979,1984,10,10.0,2.0,176.0,56,22.0,0.0,0.0,0.0,0.0,,0.0,4,4,0,Wicketkeeper
29,Kirti Azad,1980,1986,25,21.0,2.0,269.0,39*,14.15,390.0,4.0,273.0,7.0,2/48,39.0,7,0,0,Batsman
30,Roger Binny,1980,1987,72,49.0,10.0,629.0,57,16.12,2957.0,37.0,2260.0,77.0,4/29,29.35,12,0,0,Bowler
31,Dilip Doshi,1980,1982,15,5.0,2.0,9.0,5*,3.0,792.0,8.0,524.0,22.0,4/30,23.81,3,0,0,Batsman
32,Sandeep Patil,1980,1986,45,42.0,1.0,1005.0,84,24.51,864.0,9.0,589.0,15.0,2/28,39.26,11,0,0,Batsman
33,T. E. Srinivasan,1980,1981,2,2.0,0.0,10.0,6,5.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,Batsman
34,Yograj Singh,1980,1981,6,4.0,2.0,1.0,1,0.5,244.0,4.0,186.0,4.0,2/44,46.5,2,0,0,Batsman
35,Randhir Singh,1981,1983,2,0.0,0.0,0.0,,0.0,72.0,0.0,48.0,1.0,1/30,48.0,0,0,0,Batsman
36,Ravi Shastri ,1981,1992,150,128.0,21.0,3108.0,109,29.04,6613.0,56.0,4650.0,129.0,5/15,36.04,40,0,0,AllRounder
37,Krishnamachari Srikkanth ,1981,1992,146,145.0,4.0,4091.0,123,29.01,712.0,3.0,641.0,25.0,5/27,25.64,42,0,0,Batsman
38,Suru Nayak,1981,1982,4,1.0,0.0,3.0,3,3.0,222.0,4.0,161.0,1.0,1/51,161.0,1,0,0,Batsman
39,Arun Lal,1982,1989,13,13.0,0.0,122.0,51,9.38,0.0,0.0,0.0,0.0,,0.0,4,0,0,Batsman
40,Ashok Malhotra,1982,1986,20,19.0,4.0,457.0,65,30.46,6.0,1.0,0.0,0.0,,0.0,4,0,0,Batsman
41,Ghulam Parkar,1982,1984,10,10.0,1.0,165.0,42,18.33,0.0,0.0,0.0,0.0,,0.0,4,0,0,Batsman
42,Balwinder Sandhu,1982,1984,22,7.0,3.0,51.0,16*,12.75,1110.0,15.0,763.0,16.0,3/27,47.68,5,0,0,Batsman
43,Maninder Singh,1983,1993,59,18.0,14.0,49.0,8*,12.25,3133.0,33.0,2066.0,66.0,4/22,31.3,18,0,0,Bowler
44,T. A. Sekhar,1983,1985,4,0.0,0.0,0.0,,0.0,156.0,0.0,128.0,5.0,3/23,25.6,0,0,0,Batsman
45,Chetan Sharma,1983,1994,65,35.0,16.0,456.0,101*,24.0,2835.0,19.0,2336.0,67.0,3/78,34.86,7,0,0,Bowler
46,Raju Kulkarni,1983,1987,10,5.0,3.0,33.0,15,16.5,444.0,4.0,345.0,10.0,3/42,34.5,2,0,0,Batsman
47,Manoj Prabhakar,1984,1996,130,98.0,21.0,1858.0,106,24.12,6360.0,76.0,4534.0,157.0,5/33,28.87,27,0,0,AllRounder
48,Ashok Patel,1984,1985,8,2.0,0.0,6.0,6,3.0,360.0,4.0,263.0,7.0,3/43,37.57,1,0,0,Batsman
49,Rajinder Ghai,1984,1986,6,1.0,0.0,1.0,1,1.0,275.0,1.0,260.0,3.0,1/38,86.66,0,0,0,Batsman
50,Kiran More,1984,1993,94,65.0,22.0,563.0,42*,13.09,0.0,0.0,0.0,0.0,,0.0,63,27,0,Wicketkeeper
51,Mohammad Azharuddin ,1985,2000,334,308.0,54.0,9378.0,153*,36.92,552.0,1.0,479.0,12.0,3/19,39.91,156,0,0,Batsman
52,Sadanand Viswanath,1985,1988,22,12.0,4.0,72.0,23*,9.0,0.0,0.0,0.0,0.0,,0.0,17,7,0,Wicketkeeper
53,Lalchand Rajput,1985,1987,4,4.0,1.0,9.0,8,3.0,42.0,0.0,42.0,0.0,,0.0,2,0,0,Batsman
54,Laxman Sivaramakrishnan,1985,1987,16,4.0,2.0,5.0,2*,2.5,756.0,5.0,538.0,15.0,3/35,35.86,7,0,0,Batsman
55,Gopal Sharma,1985,1987,11,2.0,0.0,11.0,7,5.5,486.0,1.0,361.0,10.0,3/29,36.1,2,0,0,Batsman
56,Shivlal Yadav,1986,1987,7,2.0,2.0,1.0,1*,0.0,330.0,3.0,228.0,8.0,2/18,28.5,1,0,0,Batsman
57,Chandrakant Pandit,1986,1992,36,23.0,9.0,290.0,33*,20.71,0.0,0.0,0.0,0.0,,0.0,15,15,0,Wicketkeeper
58,Raman Lamba,1986,1989,32,31.0,2.0,783.0,102,27.0,19.0,0.0,20.0,1.0,1/9,20.0,10,0,0,Batsman
59,R. P. Singh,1986,1986,2,0.0,0.0,0.0,,0.0,82.0,1.0,77.0,1.0,1/58,77.0,0,0,0,Batsman
60,Bharat Arun,1986,1987,4,3.0,1.0,21.0,8,10.5,102.0,0.0,103.0,1.0,1/43,103.0,0,0,0,Batsman
61,Navjot Singh Sidhu,1987,1998,136,127.0,8.0,4413.0,134*,37.08,4.0,0.0,3.0,0.0,,0.0,20,0,0,Batsman
62,Arshad Ayub,1987,1990,32,17.0,7.0,116.0,31*,11.6,1769.0,19.0,1216.0,31.0,5/21,39.22,5,0,0,Batsman
63,Woorkeri Raman,1988,1996,27,27.0,1.0,617.0,114,23.73,162.0,2.0,170.0,2.0,1/23,85.0,2,0,0,Batsman
64,Ajay Sharma,1988,1993,31,27.0,6.0,424.0,59*,20.19,1140.0,5.0,875.0,15.0,3/41,58.33,6,0,0,Batsman
65,Sanjeev Sharma,1988,1990,23,12.0,4.0,80.0,28,10.0,979.0,6.0,813.0,22.0,5/26,36.95,7,0,0,Batsman
66,Sanjay Manjrekar,1988,1996,74,70.0,10.0,1994.0,105,33.23,8.0,0.0,10.0,1.0,1/2,10.0,23,0,0,Batsman
67,Narendra Hirwani,1988,1992,18,7.0,3.0,8.0,4,2.0,960.0,6.0,719.0,23.0,4/43,31.26,2,0,0,Batsman
68,V. B. Chandrasekhar,1988,1990,7,7.0,0.0,88.0,53,12.57,0.0,0.0,0.0,0.0,,0.0,0,0,0,Batsman
69,Rashid Patel,1988,1988,1,0.0,0.0,0.0,,0.0,60.0,1.0,58.0,0.0,,0.0,0,0,0,Batsman
70,M. Venkataramana,1988,1988,1,1.0,1.0,0.0,0*,0.0,60.0,0.0,36.0,2.0,2/36,18.0,0,0,0,Batsman
71,Robin Singh,1989,2001,136,113.0,23.0,2336.0,100,25.95,3734.0,28.0,2985.0,69.0,5/22,43.26,33,0,0,AllRounder
72,Salil Ankola,1989,1997,20,13.0,4.0,34.0,9,3.77,807.0,4.0,615.0,13.0,3/33,47.3,2,0,0,Batsman
73,Vivek Razdan,1989,1990,3,3.0,1.0,23.0,18,11.5,84.0,0.0,77.0,1.0,1/37,77.0,4,0,0,Batsman
74,Sachin Tendulkar ,1989,2012,463,452.0,41.0,18426.0,200*,44.83,8054.0,24.0,6850.0,154.0,5/32,44.48,140,0,0,AllRounder
75,Venkatapathy Raju,1990,1996,53,16.0,8.0,32.0,8,4.0,2770.0,16.0,2014.0,63.0,4/46,31.96,8,0,0,Bowler
76,Atul Wassan,1990,1991,9,6.0,2.0,33.0,16,8.25,426.0,0.0,283.0,11.0,3/28,25.72,2,0,0,Batsman
77,Gursharan Singh,1990,1990,1,1.0,0.0,4.0,4,4.0,0.0,0.0,0.0,0.0,,0.0,1,0,0,Batsman
78,Anil Kumble ,1990,2007,269,134.0,47.0,903.0,26,10.37,14376.0,109.0,10300.0,337.0,6/12,30.56,85,0,0,Bowler
79,Saradindu Mukherjee,1990,1991,3,1.0,1.0,2.0,2*,0.0,174.0,2.0,98.0,2.0,1/30,49.0,1,0,0,Batsman
80,Vinod Kambli,1991,2000,104,97.0,21.0,2477.0,106,32.59,4.0,0.0,7.0,1.0,1/7,7.0,15,0,0,Batsman
81,Javagal Srinath,1991,2003,229,121.0,38.0,883.0,53,10.63,11935.0,137.0,8847.0,315.0,5/23,28.08,32,0,0,Bowler
82,Pravin Amre,1991,1994,37,30.0,5.0,513.0,84*,20.52,2.0,0.0,4.0,0.0,,0.0,12,0,0,Batsman
83,Subroto Banerjee,1991,1992,6,5.0,3.0,49.0,25*,24.5,240.0,4.0,202.0,5.0,3/30,40.4,3,0,0,Batsman
84,Sourav Ganguly ,1992,2007,308,297.0,23.0,11221.0,183,40.95,4543.0,30.0,3835.0,100.0,5/16,38.35,99,0,0,AllRounder
85,Ajay Jadeja ,1992,2000,196,179.0,36.0,5359.0,119,37.47,1248.0,2.0,1094.0,20.0,3/3,54.7,59,0,0,Batsman
86,Vijay Yadav,1992,1994,19,12.0,2.0,118.0,34*,11.8,0.0,0.0,0.0,0.0,,0.0,12,7,0,Wicketkeeper
87,Rajesh Chauhan,1993,1997,35,18.0,5.0,132.0,32,10.15,1634.0,12.0,1216.0,29.0,3/29,41.93,10,0,0,Batsman
88,Nayan Mongia,1994,2000,140,96.0,33.0,1272.0,69,20.19,0.0,0.0,0.0,0.0,,0.0,110,44,0,Wicketkeeper
89,Venkatesh Prasad,1994,2001,161,63.0,31.0,221.0,19,6.9,8129.0,79.0,6332.0,196.0,5/27,32.3,37,0,0,Bowler
90,Atul Bedade,1994,1994,13,10.0,3.0,158.0,51,22.57,0.0,0.0,0.0,0.0,,0.0,4,0,0,Batsman
91,"Bhupinder Singh, Sr.",1994,1994,2,1.0,0.0,6.0,6,6.0,102.0,1.0,78.0,3.0,3/34,26.0,0,0,0,Batsman
92,Aashish Kapoor,1995,2000,17,6.0,0.0,43.0,19,7.16,900.0,5.0,612.0,8.0,2/33,76.5,1,0,0,Batsman
93,Prashant Vaidya,1995,1996,4,2.0,0.0,15.0,12,7.5,184.0,1.0,174.0,4.0,2/41,43.5,2,0,0,Batsman
94,Utpal Chatterjee,1995,1995,3,2.0,1.0,6.0,3*,6.0,161.0,0.0,117.0,3.0,2/35,39.0,1,0,0,Batsman
95,Rahul Dravid ,1996,2011,340,314.0,39.0,10768.0,153,39.15,186.0,1.0,170.0,4.0,2/43,42.5,196,14,0,Wicketkeeper
96,Vikram Rathour,1996,1997,7,7.0,0.0,193.0,54,27.57,0.0,0.0,0.0,0.0,,0.0,4,0,0,Batsman
97,Paras Mhambrey,1996,1998,3,1.0,1.0,7.0,7*,0.0,126.0,1.0,120.0,3.0,2/69,40.0,0,0,0,Batsman
98,Sunil Joshi,1996,2001,69,45.0,11.0,584.0,61*,17.17,3386.0,33.0,2509.0,69.0,5/6,36.36,19,0,0,Bowler
99,Sujith Somasunder,1996,1996,2,2.0,0.0,16.0,9,8.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,Batsman
100,Pankaj Dharmani,1996,1996,1,1.0,0.0,8.0,8,8.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,Batsman
101,Saba Karim,1997,2000,34,27.0,4.0,362.0,55,15.73,0.0,0.0,0.0,0.0,,0.0,27,3,0,Wicketkeeper
102,Dodda Ganesh,1997,1997,1,1.0,0.0,4.0,4,4.0,30.0,0.0,20.0,1.0,1/20,20.0,0,0,0,Batsman
103,Abey Kuruvilla,1997,1997,25,11.0,4.0,26.0,7,3.71,1131.0,18.0,890.0,25.0,4/43,35.6,4,0,0,Batsman
104,Noel David,1997,1997,4,2.0,2.0,9.0,8*,0.0,192.0,1.0,133.0,4.0,3/21,33.25,0,0,0,Batsman
105,Nilesh Kulkarni,1997,1998,10,5.0,3.0,11.0,5*,5.5,402.0,3.0,357.0,11.0,3/27,32.45,2,0,0,Batsman
106,Harvinder Singh,1997,2001,16,5.0,1.0,6.0,3*,1.5,686.0,6.0,609.0,24.0,3/44,25.37,6,0,0,Batsman
107,Debashish Mohanty,1997,2001,45,11.0,6.0,28.0,18*,5.6,1996.0,21.0,1662.0,57.0,4/56,29.15,10,0,0,Bowler
108,Sairaj Bahutule,1997,2003,8,4.0,1.0,23.0,11,7.66,294.0,0.0,283.0,2.0,1/31,141.5,3,0,0,Batsman
109,Hrishikesh Kanitkar,1997,2000,34,27.0,8.0,339.0,57,17.84,1006.0,4.0,803.0,17.0,2/22,47.23,14,0,0,Batsman
110,Rahul Sanghvi,1998,1998,10,2.0,0.0,8.0,8,4.0,498.0,1.0,399.0,10.0,3/29,39.9,4,0,0,Batsman
111,Ajit Agarkar,1998,2007,191,113.0,26.0,1269.0,95,14.58,9484.0,100.0,8021.0,288.0,6/42,27.85,52,0,0,AllRounder
