No,Name,First,Last,Mat,Inn,NO.1,Runs,HS,Avg,Balls,Mdn,Runs_1,Wkt,BBM,Avg_2,Ca,St,strike_rate,consistency,economy,batsman_score,wk_score,allrounder_score,bowler_score
188,Shikhar Dhawan ,2010,2022,0.6080586080586081,164.0,10.0,0.5266708016746783,143,0.6683333333333333,1.0,0.0,0.0,0.0,,0.0,83.0,0.0,1.0,0.7582742646648435,0.0,0.7188009876910147,,,
175,Virat Kohli ,2008,2023,1.0,265.0,40.0,1.0,183,0.8684848484848485,641.0,1.0,665.0,4.0,1/15,166.25,141.0,0.0,0.002962120545766921,0.8910150684340055,6.224648985959439,0.7003874915252968,,,
168,Rohit Sharma ,2007,2023,0.8864468864468864,236.0,34.0,0.7617460071328888,264,0.7368181818181819,593.0,2.0,515.0,8.0,2/27,64.37,87.0,0.0,0.0024390249957239487,0.7621300857153939,5.21079258010118,0.5769494097938358,,,
227,Shubman Gill,2019,2023,0.08424908424908424,24.0,4.0,0.10164366568460226,208,0.9931818181818182,1.0,0.0,0.0,0.0,,0.0,15.0,0.0,0.19299278669218314,1.0,0.0,0.48003856697365027,,,
213,KL Rahul  ,2016,2023,0.19413919413919414,52.0,8.0,0.1539773608311366,112,0.6837878787878788,1.0,0.0,0.0,0.0,,0.0,32.0,2.0,0.29235978212866187,0.6991726808660448,0.0,0.4060518368768371,,,
241,Sanju Samson,2021,2022,0.0,10.0,5.0,0.0,86*,1.0,1.0,0.0,0.0,0.0,,0.0,0.07407407407407407,1.0,0.0,33.0,0.0,,0.3111111111111111,,
177,Ravindra Jadeja,2009,2023,174.0,118.0,41.0,1.0,87,0.6675017895490335,8725.0,0.7313432835820894,7142.0,1.0000000000000002,5/36,0.9402515723270444,65.0,0.0,0.18136366616219007,21.406779661016948,4.911404011461318,,,0.7064389894821881,
205,Kedar Jadhav,2014,2020,73.0,52.0,19.0,0.46215704824976345,120,0.9999999999999999,1187.0,0.0,1020.0,0.0,3/23,1.0,33.0,0.0,0.9999999999999999,26.71153846153846,5.155855096882898,,,0.4155392620624408,
215,Hardik Pandya ,2016,2023,74.0,55.0,7.0,0.554399243140965,92*,0.6746599856836076,2896.0,0.1492537313432836,2711.0,0.27439024390243905,4/24,0.9811320754716979,30.0,0.0,0.42067926791258464,28.8,5.61671270718232,,,0.3883104253874384,
194,Bhuvneshwar Kumar,2012,2022,0.43956043956043955,55.0,16.0,552.0,53*,14.15,5847.0,1.0,4951.0,0.7382198952879582,5/42,0.21118796992481204,29.0,0.0,9.44073884043099,10.036363636363637,0.5890497542403759,,,,0.7275420341659865
195,Mohammed Shami,2013,2023,0.326007326007326,43.0,19.0,204.0,25,8.5,4506.0,0.6617647058823529,4210.0,0.8481675392670157,5/69,0.15627067669172934,29.0,0.0,4.527296937416778,4.744186046511628,0.6499546498388621,,,,0.7170693200330732
185,Ravichandran Ashwin,2010,2022,0.41025641025641024,63.0,20.0,707.0,65,16.07,6141.0,0.5294117647058824,5058.0,0.7905759162303665,4/25,0.20144360902255642,30.0,0.0,11.51278293437551,11.222222222222221,0.5729699878932053,,,,0.6790098711787104
210,Jasprit Bumrah,2016,2022,0.2600732600732601,20.0,13.0,47.0,14*,6.71,3807.0,0.6323529411764706,2941.0,0.6335078534031414,6/19,0.1461654135338346,17.0,0.0,1.2345679012345678,2.35,0.5374082068500817,,,,0.6339812344765864
233,Krunal Pandya,2021,2021,0.014652014652014652,4.0,2.0,0.01007908202822143,58*,0.9848484848484849,228.0,1.0,223.0,2.0,1/26,111.5,1.0,0.0,8.393573363705157e-05,0.5949656750572082,5.868421052631579,0.35895706886593237,,,
219,Shreyas Iyer,2017,2023,0.1501831501831502,38.0,3.0,0.12645371375407038,113*,0.706060606060606,37.0,0.0,39.0,0.0,,0.0,16.0,0.0,0.006489191974250123,0.7857400939419487,6.324324324324324,0.3386462326627719,,,
