No,Name,First,Last,Mat,Inn,NO.1,Runs,HS,Avg,Balls,Mdn,Runs_1,Wkt,BBM,Avg_2,Ca,St,strike_rate,consistency,economy,bowler_score
177,Ravindra Jadeja,2009,2023,0.6336996336996337,118.0,41.0,2526.0,87,32.8,8725.0,0.7352941176470588,7142.0,1.0,5/36,0.22490225563909777,65,0,28.951289398280807,21.406779661016948,0.5694381462563848,0.8104947024816092
194,Bhuvneshwar Kumar,2012,2022,0.43956043956043955,55.0,16.0,552.0,53*,14.15,5847.0,1.0,4951.0,0.7382198952879582,5/42,0.21118796992481204,29,0,9.44073884043099,10.036363636363637,0.5890497542403759,0.7275420341659865
195,Mohammed Shami,2013,2023,0.326007326007326,43.0,19.0,204.0,25,8.5,4506.0,0.6617647058823529,4210.0,0.8481675392670157,5/69,0.15627067669172934,29,0,4.527296937416778,4.744186046511628,0.6499546498388621,0.7170693200330732
185,Ravichandran Ashwin,2010,2022,0.41025641025641024,63.0,20.0,707.0,65,16.07,6141.0,0.5294117647058824,5058.0,0.7905759162303665,4/25,0.20144360902255642,30,0,11.51278293437551,11.222222222222221,0.5729699878932053,0.6790098711787104
210,Jasprit Bumrah,2016,2022,0.2600732600732601,20.0,13.0,47.0,14*,6.71,3807.0,0.6323529411764706,2941.0,0.6335078534031414,6/19,0.1461654135338346,17,0,1.2345679012345678,2.35,0.5374082068500817,0.6339812344765864
217,Kuldeep Yadav,2017,2023,0.29304029304029305,30.0,16.0,156.0,19,11.14,4234.0,0.29411764705882354,3683.0,0.7015706806282723,6/25,0.16529323308270677,12,0,3.6844591402928675,5.2,0.6051220964860036,0.6022144306948847
211,Yuzvendra Chahal,2016,2023,0.2600732600732601,14.0,5.0,77.0,18*,8.55,3739.0,0.20588235294117646,3283.0,0.6335078534031414,6/42,0.16318796992481202,16,0,2.059374164215031,5.5,0.6108120050699444,0.5584146273215617
215,Hardik Pandya ,2016,2023,0.2673992673992674,55.0,7.0,1584.0,92*,33.0,2896.0,0.16176470588235295,2711.0,0.3769633507853403,4/24,0.22646616541353384,30,0,54.69613259668509,28.8,0.6512130674993994,0.43005212483309246
202,Axar Patel,2014,2023,0.18315018315018317,31.0,10.0,412.0,64*,19.61,2415.0,0.2647058823529412,1822.0,0.30366492146596863,3/24,0.18893233082706767,23,0,17.060041407867494,13.290322580645162,0.5248357187865694,0.4297702146689231
188,Shikhar Dhawan ,2010,2022,0.6080586080586081,164.0,10.0,6793.0,143,44.11,1.0,0.0,0.0,0.0,,0.0,83,0,679300.0,41.420731707317074,0.0,0.4108058608058608
